CodigoDTA,Nombre
"101,""San José, San José"""
"102,""Escazú, San José"""
"103,""Desamparados, San José"""
"104,""Puriscal, San José"""
"105,""Tarrazú, San José"""
"106,""Aserrí, San José"""
"107,""Mora, San José"""
"108,""Goicoechea, San José"""
"109,""Santa Ana, San José"""
"110,""Alajuelita, San José"""
"111,""Vázquez de Coronado, San José"""
"112,""Acosta, San José"""
"113,""Tibás, San José"""
"114,""Moravia, San José"""
"115,""Montes de Oca, San José"""
"116,""Turrubares, San José"""
"117,""Dota, San José"""
"118,""Curridabat, San José"""
"119,""Pérez Zeledón, San José"""
"120,""León Cortés Castro, San José"""
"201,""Alajuela, Alajuela"""
"202,""San Ramón, Alajuela"""
"203,""Grecia, Alajuela"""
"204,""San Mateo, Alajuela"""
"205,""Atenas, Alajuela"""
"206,""Naranjo, Alajuela"""
"207,""Palmares, Alajuela"""
"208,""Poás, Alajuela"""
"209,""Orotina, Alajuela"""
"210,""San Carlos, Alajuela"""
"211,""Zarcero, Alajuela"""
"212,""Sarchí, Alajuela"""
"213,""Upala, Alajuela"""
"214,""Los Chiles, Alajuela"""
"215,""Guatuso, Alajuela"""
"216,""Río Cuarto, Alajuela"""
"301,""Cartago, Cartago"""
"302,""Paraíso, Cartago"""
"303,""La Unión, Cartago"""
"304,""Jiménez, Cartago"""
"305,""Turrialba, Cartago"""
"306,""Alvarado, Cartago"""
"307,""Oreamuno, Cartago"""
"308,""El Guarco, Cartago"""
"401,""Heredia, Heredia"""
"402,""Barva, Heredia"""
"403,""Santo Domingo, Heredia"""
"404,""Santa Bárbara, Heredia"""
"405,""San Rafael, Heredia"""
"406,""San Isidro, Heredia"""
"407,""Belén, Heredia"""
"408,""Flores, Heredia"""
"409,""San Pablo, Heredia"""
"410,""Sarapiquí, Heredia"""
"501,""Liberia, Guanacaste"""
"502,""Nicoya, Guanacaste"""
"503,""Santa Cruz, Guanacaste"""
"504,""Bagaces, Guanacaste"""
"505,""Carrillo, Guanacaste"""
"506,""Cañas, Guanacaste"""
"507,""Abangares, Guanacaste"""
"508,""Tilarán, Guanacaste"""
"509,""Nandayure, Guanacaste"""
"510,""La Cruz, Guanacaste"""
"511,""Hojancha, Guanacaste"""
"601,""Puntarenas, Puntarenas"""
"602,""Esparza, Puntarenas"""
"603,""Buenos Aires, Puntarenas"""
"604,""Montes de Oro, Puntarenas"""
"605,""Osa, Puntarenas"""
"606,""Quepos, Puntarenas"""
"607,""Golfito, Puntarenas"""
"608,""Coto Brus, Puntarenas"""
"609,""Parrita, Puntarenas"""
"610,""Corredores, Puntarenas"""
"611,""Garabito, Puntarenas"""
"701,""Limón, Limón"""
"702,""Pococí, Limón"""
"703,""Siquirres, Limón"""
"704,""Talamanca, Limón"""
"705,""Matina, Limón"""
"706,""Guácimo, Limón"""
