CODIGO;PROVINCIA;CANTON;DISTRITO;REGION
10101;SAN JOSE;SAN JOSE;CARMEN;CENTRAL
10102;SAN JOSE;SAN JOSE;MERCED;CENTRAL
10103;SAN JOSE;SAN JOSE;HOSPITAL;CENTRAL
10104;SAN JOSE;SAN JOSE;CATEDRAL;CENTRAL
10105;SAN JOSE;SAN JOSE;ZAPOTE;CENTRAL
10106;SAN JOSE;SAN JOSE;SAN FRANCISCO DE DOS RIOS;CENTRAL
10107;SAN JOSE;SAN JOSE;URUCA;CENTRAL
10108;SAN JOSE;SAN JOSE;MATA REDONDA;CENTRAL
10109;SAN JOSE;SAN JOSE;PAVAS;CENTRAL
10110;SAN JOSE;SAN JOSE;HATILLO;CENTRAL
10111;SAN JOSE;SAN JOSE;SAN SEBASTIAN;CENTRAL
10201;SAN JOSE;ESCAZU;ESCAZU;CENTRAL
10202;SAN JOSE;ESCAZU;SAN ANTONIO;CENTRAL
10203;SAN JOSE;ESCAZU;SAN RAFAEL;CENTRAL
10301;SAN JOSE;DESAMPARADOS;DESAMPARADOS;CENTRAL
10302;SAN JOSE;DESAMPARADOS;SAN MIGUEL;CENTRAL
10303;SAN JOSE;DESAMPARADOS;SAN JUAN DE DIOS;CENTRAL
10304;SAN JOSE;DESAMPARADOS;SAN RAFAEL ARRIBA;CENTRAL
10305;SAN JOSE;DESAMPARADOS;SAN ANTONIO;CENTRAL
10306;SAN JOSE;DESAMPARADOS;FRAILES;CENTRAL
10307;SAN JOSE;DESAMPARADOS;PATARRA;CENTRAL
10308;SAN JOSE;DESAMPARADOS;SAN CRISTOBAL;CENTRAL
10309;SAN JOSE;DESAMPARADOS;ROSARIO;CENTRAL
10310;SAN JOSE;DESAMPARADOS;DAMAS;CENTRAL
10311;SAN JOSE;DESAMPARADOS;SAN RAFAEL ABAJO;CENTRAL
10312;SAN JOSE;DESAMPARADOS;GRAVILIAS;CENTRAL
10313;SAN JOSE;DESAMPARADOS;LOS GUIDO;CENTRAL
10401;SAN JOSE;PURISCAL;SANTIAGO;CENTRAL
10402;SAN JOSE;PURISCAL;MERCEDES SUR;CENTRAL
10403;SAN JOSE;PURISCAL;BARBACOAS;CENTRAL
10404;SAN JOSE;PURISCAL;GRIFO ALTO;CENTRAL
10405;SAN JOSE;PURISCAL;SAN RAFAEL;CENTRAL
10406;SAN JOSE;PURISCAL;CANDELARITA;CENTRAL
10407;SAN JOSE;PURISCAL;DESAMPARADITOS;CENTRAL
10408;SAN JOSE;PURISCAL;SAN ANTONIO;CENTRAL
10409;SAN JOSE;PURISCAL;CHIRES;CENTRAL
10501;SAN JOSE;TARRAZU;SAN MARCOS;CENTRAL
10502;SAN JOSE;TARRAZU;SAN LORENZO;CENTRAL
10503;SAN JOSE;TARRAZU;SAN CARLOS;CENTRAL
10601;SAN JOSE;ASERRI;ASERRI;CENTRAL
10602;SAN JOSE;ASERRI;TARBACA;CENTRAL
10603;SAN JOSE;ASERRI;VUELTA DE JORCO;CENTRAL
10604;SAN JOSE;ASERRI;SAN GABRIEL;CENTRAL
10605;SAN JOSE;ASERRI;LEGUA;CENTRAL
10606;SAN JOSE;ASERRI;MONTERREY;CENTRAL
10607;SAN JOSE;ASERRI;SALITRILLOS;CENTRAL
10701;SAN JOSE;MORA;COLON;CENTRAL
10702;SAN JOSE;MORA;GUAYABO;CENTRAL
10703;SAN JOSE;MORA;TABARCIA;CENTRAL
10704;SAN JOSE;MORA;PIEDRAS NEGRAS;CENTRAL
10705;SAN JOSE;MORA;PICAGRES;CENTRAL
10706;SAN JOSE;MORA;JARIS;CENTRAL
10707;SAN JOSE;MORA;QUITIRRISI;CENTRAL
10801;SAN JOSE;GOICOECHEA;GUADALUPE;CENTRAL
10802;SAN JOSE;GOICOECHEA;SAN FRANCISCO;CENTRAL
10803;SAN JOSE;GOICOECHEA;CALLE BLANCOS;CENTRAL
10804;SAN JOSE;GOICOECHEA;MATA DE PLATANO;CENTRAL
10805;SAN JOSE;GOICOECHEA;IPIS;CENTRAL
10806;SAN JOSE;GOICOECHEA;RANCHO REDONDO;CENTRAL
10807;SAN JOSE;GOICOECHEA;PURRAL;CENTRAL
10901;SAN JOSE;SANTA ANA;SANTA ANA;CENTRAL
10902;SAN JOSE;SANTA ANA;SALITRAL;CENTRAL
10903;SAN JOSE;SANTA ANA;POZOS;CENTRAL
10904;SAN JOSE;SANTA ANA;URUCA;CENTRAL
10905;SAN JOSE;SANTA ANA;PIEDADES;CENTRAL
10906;SAN JOSE;SANTA ANA;BRASIL;CENTRAL
11001;SAN JOSE;ALAJUELITA;ALAJUELITA;CENTRAL
11002;SAN JOSE;ALAJUELITA;SAN JOSECITO;CENTRAL
11003;SAN JOSE;ALAJUELITA;SAN ANTONIO;CENTRAL
11004;SAN JOSE;ALAJUELITA;CONCEPCION;CENTRAL
11005;SAN JOSE;ALAJUELITA;SAN FELIPE;CENTRAL
11101;SAN JOSE;VAZQUEZ DE CORONADO;SAN ISIDRO;CENTRAL
11102;SAN JOSE;VAZQUEZ DE CORONADO;SAN RAFAEL;CENTRAL
11103;SAN JOSE;VAZQUEZ DE CORONADO;DULCE NOMBRE DE JESUS;CENTRAL
11104;SAN JOSE;VAZQUEZ DE CORONADO;PATALILLO;CENTRAL
11105;SAN JOSE;VAZQUEZ DE CORONADO;CASCAJAL;CENTRAL
11201;SAN JOSE;ACOSTA;SAN IGNACIO;CENTRAL
11202;SAN JOSE;ACOSTA;GUAITIL;CENTRAL
11203;SAN JOSE;ACOSTA;PALMICHAL;CENTRAL
11204;SAN JOSE;ACOSTA;CANGREJAL;CENTRAL
11205;SAN JOSE;ACOSTA;SABANILLAS;CENTRAL
11301;SAN JOSE;TIBAS;SAN JUAN;CENTRAL
11302;SAN JOSE;TIBAS;CINCO ESQUINAS;CENTRAL
11303;SAN JOSE;TIBAS;ANSELMO LLORENTE;CENTRAL
11304;SAN JOSE;TIBAS;LEON XIII;CENTRAL
11305;SAN JOSE;TIBAS;COLIMA;CENTRAL
11401;SAN JOSE;MORAVIA;SAN VICENTE;CENTRAL
11402;SAN JOSE;MORAVIA;SAN JERONIMO;CENTRAL
11403;SAN JOSE;MORAVIA;TRINIDAD;CENTRAL
11501;SAN JOSE;MONTES DE OCA;SAN PEDRO;CENTRAL
11502;SAN JOSE;MONTES DE OCA;SABANILLA;CENTRAL
11503;SAN JOSE;MONTES DE OCA;MERCEDES;CENTRAL
11504;SAN JOSE;MONTES DE OCA;SAN RAFAEL;CENTRAL
11601;SAN JOSE;TURRUBARES;SAN PABLO;CENTRAL
11602;SAN JOSE;TURRUBARES;SAN PEDRO;CENTRAL
11603;SAN JOSE;TURRUBARES;SAN JUAN DE MATA;CENTRAL
11604;SAN JOSE;TURRUBARES;SAN LUIS;CENTRAL
11605;SAN JOSE;TURRUBARES;CARARA;CENTRAL
11701;SAN JOSE;DOTA;SANTA MARIA;CENTRAL
11702;SAN JOSE;DOTA;JARDIN;CENTRAL
11703;SAN JOSE;DOTA;COPEY;CENTRAL
11801;SAN JOSE;CURRIDABAT;CURRIDABAT;CENTRAL
11802;SAN JOSE;CURRIDABAT;GRANADILLA;CENTRAL
11803;SAN JOSE;CURRIDABAT;SANCHEZ;CENTRAL
11804;SAN JOSE;CURRIDABAT;TIRRASES;CENTRAL
11901;SAN JOSE;PEREZ ZELEDON;SAN ISIDRO DE EL GENERAL;BRUNCA
11902;SAN JOSE;PEREZ ZELEDON;GENERAL;BRUNCA
11903;SAN JOSE;PEREZ ZELEDON;DANIEL FLORES;BRUNCA
11904;SAN JOSE;PEREZ ZELEDON;RIVAS;BRUNCA
11905;SAN JOSE;PEREZ ZELEDON;SAN PEDRO;BRUNCA
11906;SAN JOSE;PEREZ ZELEDON;PLATANARES;BRUNCA
11907;SAN JOSE;PEREZ ZELEDON;PEJIBAYE;BRUNCA
11908;SAN JOSE;PEREZ ZELEDON;CAJON;BRUNCA
11909;SAN JOSE;PEREZ ZELEDON;BARU;BRUNCA
11910;SAN JOSE;PEREZ ZELEDON;RIO NUEVO;BRUNCA
11911;SAN JOSE;PEREZ ZELEDON;PARAMO;BRUNCA
11912;SAN JOSE;PEREZ ZELEDON;LA AMISTAD;BRUNCA
12001;SAN JOSE;LEON CORTES;SAN PABLO;CENTRAL
12002;SAN JOSE;LEON CORTES;SAN ANDRES;CENTRAL
12003;SAN JOSE;LEON CORTES;LLANO BONITO;CENTRAL
12004;SAN JOSE;LEON CORTES;SAN ISIDRO;CENTRAL
12005;SAN JOSE;LEON CORTES;SANTA CRUZ;CENTRAL
12006;SAN JOSE;LEON CORTES;SAN ANTONIO;CENTRAL
20101;ALAJUELA;ALAJUELA;ALAJUELA;CENTRAL
20102;ALAJUELA;ALAJUELA;SAN JOSE;CENTRAL
20103;ALAJUELA;ALAJUELA;CARRIZAL;CENTRAL
20104;ALAJUELA;ALAJUELA;SAN ANTONIO;CENTRAL
20105;ALAJUELA;ALAJUELA;GUACIMA;CENTRAL
20106;ALAJUELA;ALAJUELA;SAN ISIDRO;CENTRAL
20107;ALAJUELA;ALAJUELA;SABANILLA;CENTRAL
20108;ALAJUELA;ALAJUELA;SAN RAFAEL;CENTRAL
20109;ALAJUELA;ALAJUELA;RIO SEGUNDO;CENTRAL
20110;ALAJUELA;ALAJUELA;DESAMPARADOS;CENTRAL
20111;ALAJUELA;ALAJUELA;TURRUCARES;CENTRAL
20112;ALAJUELA;ALAJUELA;TAMBOR;CENTRAL
20113;ALAJUELA;ALAJUELA;LA GARITA;CENTRAL
20114;ALAJUELA;ALAJUELA;SARAPIQUI;HUETAR NORTE
20201;ALAJUELA;SAN RAMON;SAN RAMON;CENTRAL
20202;ALAJUELA;SAN RAMON;SANTIAGO;CENTRAL
20203;ALAJUELA;SAN RAMON;SAN JUAN;CENTRAL
20204;ALAJUELA;SAN RAMON;PIEDADES NORTE;CENTRAL
20205;ALAJUELA;SAN RAMON;PIEDADES SUR;CENTRAL
20206;ALAJUELA;SAN RAMON;SAN RAFAEL;CENTRAL
20207;ALAJUELA;SAN RAMON;SAN ISIDRO;CENTRAL
20208;ALAJUELA;SAN RAMON;ANGELES;CENTRAL
20209;ALAJUELA;SAN RAMON;ALFARO;CENTRAL
20210;ALAJUELA;SAN RAMON;VOLIO;CENTRAL
20211;ALAJUELA;SAN RAMON;CONCEPCION;CENTRAL
20212;ALAJUELA;SAN RAMON;ZAPOTAL;CENTRAL
20213;ALAJUELA;SAN RAMON;PE•AS BLANCAS;HUETAR NORTE
20214;ALAJUELA;SAN RAMON;SAN LORENZO;CENTRAL
20301;ALAJUELA;GRECIA;GRECIA;CENTRAL
20302;ALAJUELA;GRECIA;SAN ISIDRO;CENTRAL
20303;ALAJUELA;GRECIA;SAN JOSE;CENTRAL
20304;ALAJUELA;GRECIA;SAN ROQUE;CENTRAL
20305;ALAJUELA;GRECIA;TACARES;CENTRAL
20307;ALAJUELA;GRECIA;PUENTE DE PIEDRA;CENTRAL
20308;ALAJUELA;GRECIA;BOLIVAR;CENTRAL
20401;ALAJUELA;SAN MATEO;SAN MATEO;PACIFICO CENTRAL
20402;ALAJUELA;SAN MATEO;DESMONTE;PACIFICO CENTRAL
20403;ALAJUELA;SAN MATEO;JESUS MARIA;PACIFICO CENTRAL
20404;ALAJUELA;SAN MATEO;LABRADOR;PACIFICO CENTRAL
20501;ALAJUELA;ATENAS;ATENAS;CENTRAL
20502;ALAJUELA;ATENAS;JESUS;CENTRAL
20503;ALAJUELA;ATENAS;MERCEDES;CENTRAL
20504;ALAJUELA;ATENAS;SAN ISIDRO;CENTRAL
20505;ALAJUELA;ATENAS;CONCEPCION;CENTRAL
20506;ALAJUELA;ATENAS;SAN JOSE;CENTRAL
20507;ALAJUELA;ATENAS;SANTA EULALIA;CENTRAL
20508;ALAJUELA;ATENAS;ESCOBAL;CENTRAL
20601;ALAJUELA;NARANJO;NARANJO;CENTRAL
20602;ALAJUELA;NARANJO;SAN MIGUEL;CENTRAL
